date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:09:15	64425/64425	---M--	200	added ('OK')	image/jpeg	etag:%22fba9-55f95785e2255%22	https://www.piguetgalland.ch/app/uploads/2017/06/Accueil_Piguet_Galland-800x533.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/06/Accueil_Piguet_Galland-800x533.jpg	(from https://www.piguetgalland.ch/fr/nos-sites/)
05:09:19	62652/62652	---M--	200	added ('OK')	image/jpeg	etag:%22f4bc-55f95d6886f9f%22	https://www.piguetgalland.ch/app/uploads/2017/06/DSC_0423-e1502113029743-800x533.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/06/DSC_0423-e1502113029743-800x533.jpg	(from https://www.piguetgalland.ch/fr/nos-sites/)
05:09:37	47239/47239	---M--	200	added ('OK')	image/jpeg	etag:%22b887-55f9579f9925d%22	https://www.piguetgalland.ch/app/uploads/2017/06/Nicolas-Dhotel_Gen%c3%a8ve-800x533.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/06/Nicolas-Dhotel_Gen%c3%a8ve-800x533.jpg	(from https://www.piguetgalland.ch/fr/nos-sites/)
05:09:40	42362/42362	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202018%2004:09:37%20GMT	https://www.piguetgalland.ch/fr/nous-contacter/?office=geneve	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/fr/nous-contacter/index438e.html	(from https://www.piguetgalland.ch/fr/nos-sites/)
05:09:43	59518/59518	---M--	200	added ('OK')	image/jpeg	etag:%22e87e-55f95d34a9a51%22	https://www.piguetgalland.ch/app/uploads/2017/06/DSC_1009-e1502112995578-800x533.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/06/DSC_1009-e1502112995578-800x533.jpg	(from https://www.piguetgalland.ch/fr/nos-sites/)
05:09:49	48518/48518	---M--	200	added ('OK')	image/jpeg	etag:%22bd86-55f95672ca617%22	https://www.piguetgalland.ch/app/uploads/2017/06/Yverdon_800x540-800x533.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/06/Yverdon_800x540-800x533.jpg	(from https://www.piguetgalland.ch/fr/nos-sites/)
05:09:53	70286/70286	---M--	200	added ('OK')	image/jpeg	etag:%221128e-55f95d26ff99e%22	https://www.piguetgalland.ch/app/uploads/2017/06/DSC_1136-e1502112984240-800x533.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/06/DSC_1136-e1502112984240-800x533.jpg	(from https://www.piguetgalland.ch/fr/nos-sites/)
05:09:54	67929/67929	---M--	200	added ('OK')	image/jpeg	etag:%2210959-55f95680b8c8a%22	https://www.piguetgalland.ch/app/uploads/2017/06/Francine_800x540-800x533.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/06/Francine_800x540-800x533.jpg	(from https://www.piguetgalland.ch/fr/nos-sites/)
05:09:58	64421/64421	---M--	200	added ('OK')	image/jpeg	etag:%22fba5-55f95cfa40889%22	https://www.piguetgalland.ch/app/uploads/2017/06/DSC_0732-e1502112965448-800x533.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/06/DSC_0732-e1502112965448-800x533.jpg	(from https://www.piguetgalland.ch/fr/nos-sites/)
05:09:58	42383/42383	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202018%2004:09:53%20GMT	https://www.piguetgalland.ch/fr/nous-contacter/?office=yverdon	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/fr/nous-contacter/index599c.html	(from https://www.piguetgalland.ch/fr/nos-sites/)
05:10:04	52976/52976	---M--	200	added ('OK')	image/jpeg	etag:%22cef0-55f95d0ead0b5%22	https://www.piguetgalland.ch/app/uploads/2017/06/DSC_0720-e1502112974237-800x533.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/06/DSC_0720-e1502112974237-800x533.jpg	(from https://www.piguetgalland.ch/fr/nos-sites/)
05:10:05	28330/28330	---M--	200	added ('OK')	image/jpeg	etag:%226eaa-55d8a13de6912%22	https://www.piguetgalland.ch/app/uploads/2017/05/office-4-800x533.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/05/office-4-800x533.jpg	(from https://www.piguetgalland.ch/fr/nos-sites/)
05:10:08	54738/54738	---M--	200	added ('OK')	image/jpeg	etag:%22d5d2-55f9576ba74ee%22	https://www.piguetgalland.ch/app/uploads/2017/06/B%c3%a9atrice_Aujouannet_Lausanne-800x533.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/06/B%c3%a9atrice_Aujouannet_Lausanne-800x533.jpg	(from https://www.piguetgalland.ch/fr/nos-sites/)
05:10:14	68850/68850	---M--	200	added ('OK')	image/jpeg	etag:%2210cf2-5604ec3b37e63%22	https://www.piguetgalland.ch/app/uploads/2017/12/Neuch%c3%a2tel800x540-800x533.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/12/Neuch%c3%a2tel800x540-800x533.jpg	(from https://www.piguetgalland.ch/fr/nos-sites/)
05:10:24	71523/71523	---M--	200	added ('OK')	image/jpeg	etag:%2211763-5604ec563030f%22	https://www.piguetgalland.ch/app/uploads/2017/12/Neuch%c3%a2tel_gestion-de-fortune_800x540-800x533.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/12/Neuch%c3%a2tel_gestion-de-fortune_800x540-800x533.jpg	(from https://www.piguetgalland.ch/fr/nos-sites/)
05:10:25	69720/69720	---M--	200	added ('OK')	image/jpeg	etag:%2211058-55f95cebe7af7%22	https://www.piguetgalland.ch/app/uploads/2017/06/DSC_0717-e1502112953752-800x533.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/06/DSC_0717-e1502112953752-800x533.jpg	(from https://www.piguetgalland.ch/fr/nos-sites/)
05:10:25	87126/87126	---M--	200	added ('OK')	image/jpeg	etag:%2215456-5604ebe4b37a7%22	https://www.piguetgalland.ch/app/uploads/2017/12/teamNeuch_800x540-800x533.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/12/teamNeuch_800x540-800x533.jpg	(from https://www.piguetgalland.ch/fr/nos-sites/)
05:10:30	42366/42366	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202018%2004:10:24%20GMT	https://www.piguetgalland.ch/fr/nous-contacter/?office=lausanne	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/fr/nous-contacter/index17a3.html	(from https://www.piguetgalland.ch/fr/nos-sites/)
05:10:31	46840/46840	---M--	200	added ('OK')	image/jpeg	etag:%22b6f8-5604ec22a4e37%22	https://www.piguetgalland.ch/app/uploads/2017/12/PiguetGalland_Neuch%c3%a2tel_banque_800x540-800x533.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/12/PiguetGalland_Neuch%c3%a2tel_banque_800x540-800x533.jpg	(from https://www.piguetgalland.ch/fr/nos-sites/)
05:10:37	48620/48620	---M--	200	added ('OK')	image/jpeg	etag:%22bdec-55f95cb61d30b%22	https://www.piguetgalland.ch/app/uploads/2017/06/DSC_0630-e1502112794547-800x533.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/06/DSC_0630-e1502112794547-800x533.jpg	(from https://www.piguetgalland.ch/fr/nos-sites/)
05:10:38	42371/42371	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202018%2004:10:34%20GMT	https://www.piguetgalland.ch/fr/nous-contacter/?office=neuchatel	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/fr/nous-contacter/index810c.html	(from https://www.piguetgalland.ch/fr/nos-sites/)
05:10:39	42994/42994	---M--	200	added ('OK')	image/jpeg	etag:%22a7f2-55f9576030bd9%22	https://www.piguetgalland.ch/app/uploads/2017/06/Ren%c3%a9_Mesot_Neuch%c3%a2tel-800x533.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/06/Ren%c3%a9_Mesot_Neuch%c3%a2tel-800x533.jpg	(from https://www.piguetgalland.ch/fr/nos-sites/)
05:10:48	42354/42354	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202018%2004:10:43%20GMT	https://www.piguetgalland.ch/fr/nous-contacter/?office=nyon	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/fr/nous-contacter/indexaa8a.html	(from https://www.piguetgalland.ch/fr/nos-sites/)
05:10:52	62287/62287	---M--	200	added ('OK')	image/jpeg	etag:%22f34f-55f9573628020%22	https://www.piguetgalland.ch/app/uploads/2017/06/Nyon_site-800x533.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/06/Nyon_site-800x533.jpg	(from https://www.piguetgalland.ch/fr/nos-sites/)
05:10:52	37973/37973	---M--	200	added ('OK')	image/jpeg	etag:%229455-55f9575261966%22	https://www.piguetgalland.ch/app/uploads/2017/06/Giacchino-Mongillo-Nyon-800x533.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/06/Giacchino-Mongillo-Nyon-800x533.jpg	(from https://www.piguetgalland.ch/fr/nos-sites/)
05:10:53	44621/44621	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202018%2004:10:48%20GMT	https://www.piguetgalland.ch/fr/category/piguet-galland/page/2/	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/fr/category/piguet-galland/page/2/index.html	(from https://www.piguetgalland.ch/fr/category/piguet-galland/)
05:10:57	65124/65124	---M--	200	added ('OK')	image/jpeg	etag:%22fe64-55f95743d4fb3%22	https://www.piguetgalland.ch/app/uploads/2017/06/Nyon-800x533.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/06/Nyon-800x533.jpg	(from https://www.piguetgalland.ch/fr/nos-sites/)
05:10:57	15075/15075	---M--	200	added ('OK')	image/jpeg	etag:%223ae3-55f9593ad666a%22	https://www.piguetgalland.ch/app/uploads/2017/06/Fotolia_132350275_Subscription_Monthly_M-510x510.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/06/Fotolia_132350275_Subscription_Monthly_M-510x510.jpg	(from https://www.piguetgalland.ch/fr/category/prevoyance/)
05:10:58	8206/8206	---MCZ	200	added ('OK')	application/rss+xml	etag:%2266eb333251efe4570152ff43db819653%22	https://www.piguetgalland.ch/fr/category/piguet-galland/feed/	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/fr/category/piguet-galland/feed/index.html	(from https://www.piguetgalland.ch/fr/category/piguet-galland/)
05:10:59	3974/3974	---MCZ	200	added ('OK')	application/rss+xml	etag:%2266eb333251efe4570152ff43db819653%22	https://www.piguetgalland.ch/fr/category/prevoyance/feed/	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/fr/category/prevoyance/feed/index.html	(from https://www.piguetgalland.ch/fr/category/prevoyance/)
05:11:03	3983/3983	---MCZ	200	added ('OK')	application/rss+xml	etag:%2266eb333251efe4570152ff43db819653%22	https://www.piguetgalland.ch/fr/category/entrepreneur/feed/	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/fr/category/entrepreneur/feed/index.html	(from https://www.piguetgalland.ch/fr/category/entrepreneur/)
05:11:05	40282/40282	---M--	200	added ('OK')	image/jpeg	etag:%229d5a-55f9547b7dc42%22	https://www.piguetgalland.ch/app/uploads/2017/10/CEOPIGUETGALLAND-510x394.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/10/CEOPIGUETGALLAND-510x394.jpg	(from https://www.piguetgalland.ch/fr/category/entrepreneur/)
05:11:05	75716/75716	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202018%2004:11:01%20GMT	https://www.piguetgalland.ch/fr/dans-la-peau-dun-prive-entretien-avec-olivier-calloud/	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/fr/dans-la-peau-dun-prive-entretien-avec-olivier-calloud/index.html	(from https://www.piguetgalland.ch/fr/category/entrepreneur/)
05:11:06	10725/10725	---M--	200	added ('OK')	image/jpeg	etag:%2229e5-5625ad02db8f4%22	https://www.piguetgalland.ch/app/uploads/2018/01/smart-cities_montagnes-397x220.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2018/01/smart-cities_montagnes-397x220.jpg	(from https://www.piguetgalland.ch/fr/category/points-sur-les-marches/)
05:11:07	51672/51672	---M--	200	added ('OK')	image/jpeg	etag:%22c9d8-55f955d1b80ab%22	https://www.piguetgalland.ch/app/uploads/2017/10/Olivier_Calloud_Piguet_Galland-510x510.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/10/Olivier_Calloud_Piguet_Galland-510x510.jpg	(from https://www.piguetgalland.ch/fr/category/prevoyance/)
05:11:07	8309/8309	---MCZ	200	added ('OK')	application/rss+xml	etag:%2266eb333251efe4570152ff43db819653%22	https://www.piguetgalland.ch/fr/category/points-sur-les-marches/feed/	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/fr/category/points-sur-les-marches/feed/index.html	(from https://www.piguetgalland.ch/fr/category/points-sur-les-marches/)
05:11:09	43301/43301	---M--	200	added ('OK')	image/jpeg	etag:%22a925-560b2dbce215e%22	https://www.piguetgalland.ch/app/uploads/2017/12/123366447_Nosengagements-510x510.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/12/123366447_Nosengagements-510x510.jpg	(from https://www.piguetgalland.ch/fr/category/points-sur-les-marches/)
05:11:09	11902/11902	---M--	200	added ('OK')	image/jpeg	etag:%222e7e-5602747f76bf4%22	https://www.piguetgalland.ch/app/uploads/2017/12/Fotolia_101113213_Subscription_Monthly_XXL-400x220.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/12/Fotolia_101113213_Subscription_Monthly_XXL-400x220.jpg	(from https://www.piguetgalland.ch/fr/category/points-sur-les-marches/)
05:11:11	19626/19626	---M--	200	added ('OK')	image/jpeg	etag:%224caa-55f94fadf9461%22	https://www.piguetgalland.ch/app/uploads/2017/11/Fotolia_38690330_Subscription_Monthly_XL-400x220.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/11/Fotolia_38690330_Subscription_Monthly_XL-400x220.jpg	(from https://www.piguetgalland.ch/fr/category/points-sur-les-marches/)
05:11:12	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2005%20Feb%202018%2004:11:11%20GMT	https://www.piguetgalland.ch/fr/point-sur-les-marches-27-novembre-2017/	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/fr/point-sur-les-marches-27-novembre-2017/index.html	(from https://www.piguetgalland.ch/fr/category/points-sur-les-marches/)
05:11:14	29640/29640	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Feb%202018%2004:11:11%20GMT	https://www.piguetgalland.ch/fr/category/points-sur-les-marches/page/2/	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/fr/category/points-sur-les-marches/page/2/index.html	(from https://www.piguetgalland.ch/fr/category/points-sur-les-marches/)
05:11:14	43228/43228	---M--	200	added ('OK')	image/jpeg	etag:%22a8dc-55f9a1d9694fd%22	https://www.piguetgalland.ch/app/uploads/2017/12/65840168_xl-510x510.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/12/65840168_xl-510x510.jpg	(from https://www.piguetgalland.ch/fr/category/points-sur-les-marches/)
05:11:16	4161/4161	---MCZ	200	added ('OK')	application/rss+xml	etag:%2266eb333251efe4570152ff43db819653%22	https://www.piguetgalland.ch/fr/category/gerants-independants/feed/	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/fr/category/gerants-independants/feed/index.html	(from https://www.piguetgalland.ch/fr/category/gerants-independants/)
05:11:19	49346/49346	---M--	200	added ('OK')	image/jpeg	etag:%22c0c2-55f955f8aea47%22	https://www.piguetgalland.ch/app/uploads/2017/10/Julien-Froidevaux_PiguetGalland-510x510.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/10/Julien-Froidevaux_PiguetGalland-510x510.jpg	(from https://www.piguetgalland.ch/fr/category/gerants-independants/)
